NDVI;Number of pixels
0;19973
0.004;7221
0.008;13169
0.012;11034
0.016;8952
0.02;9781
0.023;10013
0.027;7144
0.031;9296
0.035;9038
0.039;7037
0.043;7266
0.047;6676
0.051;8095
0.055;7114
0.059;7965
0.062;6580
0.066;7410
0.07;7575
0.074;7829
0.078;7312
0.082;8879
0.086;7214
0.09;7216
0.094;7589
0.098;6725
0.102;5680
0.105;5641
0.109;5671
0.113;5850
0.117;5170
0.121;4361
0.125;5947
0.129;5682
0.133;5479
0.137;5010
0.141;5616
0.145;4963
0.148;4720
0.152;4911
0.156;4838
0.16;4753
0.164;4670
0.168;4294
0.172;5033
0.176;4667
0.18;4112
0.184;4168
0.188;4102
0.191;3839
0.195;3515
0.199;4807
0.203;3257
0.207;3825
0.211;3982
0.215;3637
0.219;3558
0.223;3596
0.227;3684
0.23;3529
0.234;4280
0.238;3033
0.242;4038
0.246;2878
0.25;4297
0.254;3647
0.258;3578
0.262;3464
0.266;3460
0.27;3723
0.273;2781
0.277;4365
0.281;3631
0.285;3308
0.289;3554
0.293;3316
0.297;3395
0.301;3292
0.305;3392
0.309;3039
0.312;3544
0.316;3809
0.32;3300
0.324;3175
0.328;2181
0.332;3637
0.336;3630
0.34;3456
0.344;3112
0.348;2515
0.352;3396
0.355;2796
0.359;3367
0.363;2120
0.367;2856
0.371;2823
0.375;3505
0.379;1861
0.383;3318
0.387;1929
0.391;3146
0.395;2097
0.398;3234
0.402;2585
0.406;2464
0.41;2087
0.414;2839
0.418;2191
0.422;2674
0.426;2199
0.43;2621
0.434;2547
0.438;1861
0.441;2302
0.445;2151
0.449;2297
0.453;1930
0.457;2050
0.461;2099
0.465;2097
0.469;2864
0.473;1682
0.477;1956
0.48;1736
0.484;2241
0.488;2016
0.492;1249
0.496;1639
0.5;3141
0.504;1444
0.508;1881
0.512;1793
0.516;2023
0.52;1571
0.523;2191
0.527;1704
0.531;1887
0.535;1627
0.539;1806
0.543;1926
0.547;1855
0.551;1805
0.555;1518
0.559;2073
0.562;1875
0.566;1461
0.57;2096
0.574;1411
0.578;1792
0.582;2199
0.586;1669
0.59;1617
0.594;1869
0.598;1699
0.602;1951
0.605;1431
0.609;1983
0.613;1542
0.617;2271
0.621;1425
0.625;1802
0.629;1385
0.633;2864
0.637;576
0.641;2227
0.645;1910
0.648;924
0.652;2470
0.656;2013
0.66;1345
0.664;1866
0.668;2225
0.672;1891
0.676;1710
0.68;1559
0.684;1861
0.688;1659
0.691;1203
0.695;981
0.699;1449
0.703;2124
0.707;1403
0.711;1930
0.715;1547
0.719;997
0.723;1300
0.727;1131
0.73;953
0.734;899
0.738;649
0.742;1131
0.746;864
0.75;1727
0.754;1166
0.758;795
0.762;1110
0.766;933
0.77;744
0.773;463
0.777;1070
0.781;531
0.785;829
0.789;1067
0.793;735
0.797;1049
0.801;484
0.805;959
0.809;1009
0.812;749
0.816;685
0.82;583
0.824;432
0.828;448
0.832;824
0.836;721
0.84;810
0.844;1046
0.848;941
0.852;629
0.855;878
0.859;870
0.863;423
0.867;527
0.871;223
0.875;362
0.879;382
0.883;945
0.887;654
0.891;455
0.895;1003
0.898;849
0.902;432
0.906;717
0.91;750
0.914;627
0.918;458
0.922;734
0.926;616
0.93;543
0.934;174
0.938;1
0.941;11
0.945;31
0.949;200
0.953;704
0.957;725
0.961;42
0.965;179
0.969;968
0.973;214
0.977;0
0.98;193
0.984;797
0.988;0
0.992;0
0.996;1537
