NDVI;Number of pixels
0;6740
0.004;6740
0.008;4991
0.012;6760
0.016;6502
0.02;8267
0.023;9535
0.027;8119
0.031;8560
0.035;7545
0.039;6678
0.043;6041
0.047;6741
0.051;7140
0.055;6137
0.059;7189
0.062;6957
0.066;6851
0.07;8512
0.074;8633
0.078;7419
0.082;7627
0.086;7692
0.09;7772
0.094;8981
0.098;8398
0.102;8328
0.105;8203
0.109;8546
0.113;8715
0.117;8779
0.121;6703
0.125;10655
0.129;9321
0.133;9259
0.137;9215
0.141;10192
0.145;8885
0.148;8814
0.152;9977
0.156;9930
0.16;11177
0.164;9947
0.168;8784
0.172;11198
0.176;10688
0.18;9903
0.184;7702
0.188;11539
0.191;8717
0.195;9589
0.199;11733
0.203;8515
0.207;10549
0.211;10379
0.215;9111
0.219;11192
0.223;8488
0.227;10897
0.23;9464
0.234;11828
0.238;8438
0.242;10250
0.246;8375
0.25;12443
0.254;9801
0.258;11366
0.262;10526
0.266;9106
0.27;12053
0.273;8608
0.277;9703
0.281;13404
0.285;10154
0.289;8600
0.293;11813
0.297;9777
0.301;9256
0.305;12318
0.309;8725
0.312;9859
0.316;10628
0.32;9143
0.324;9376
0.328;8672
0.332;8871
0.336;11152
0.34;7518
0.344;10295
0.348;7901
0.352;8418
0.355;6960
0.359;8060
0.363;6629
0.367;8042
0.371;5951
0.375;5710
0.379;6184
0.383;4723
0.387;5140
0.391;4615
0.395;4128
0.398;3206
0.402;2542
0.406;2865
0.41;2918
0.414;2079
0.418;701
0.422;1086
0.426;686
0.43;490
0.434;489
0.438;211
0.441;166
0.445;158
0.449;113
0.453;67
0.457;46
0.461;46
0.465;31
0.469;46
0.473;14
0.477;22
0.48;16
0.484;9
0.488;6
0.492;6
0.496;3
0.5;3
0.504;3
0.508;2
0.512;1
0.516;2
0.52;2
0.523;1
0.527;0
0.531;1
0.535;1
0.539;0
0.543;0
0.547;0
0.551;0
0.555;0
0.559;0
0.562;0
0.566;0
0.57;0
0.574;0
0.578;0
0.582;0
0.586;0
0.59;0
0.594;0
0.598;0
0.602;0
0.605;0
0.609;0
0.613;0
0.617;0
0.621;0
0.625;0
0.629;0
0.633;0
0.637;0
0.641;0
0.645;0
0.648;0
0.652;0
0.656;0
0.66;0
0.664;0
0.668;0
0.672;0
0.676;0
0.68;0
0.684;0
0.688;0
0.691;0
0.695;0
0.699;0
0.703;0
0.707;0
0.711;0
0.715;0
0.719;0
0.723;0
0.727;0
0.73;0
0.734;0
0.738;0
0.742;0
0.746;0
0.75;0
0.754;0
0.758;0
0.762;0
0.766;0
0.77;0
0.773;0
0.777;0
0.781;0
0.785;0
0.789;0
0.793;0
0.797;0
0.801;0
0.805;0
0.809;0
0.812;0
0.816;0
0.82;0
0.824;0
0.828;0
0.832;0
0.836;0
0.84;0
0.844;0
0.848;0
0.852;0
0.855;0
0.859;0
0.863;0
0.867;0
0.871;0
0.875;0
0.879;0
0.883;0
0.887;0
0.891;0
0.895;0
0.898;0
0.902;0
0.906;0
0.91;0
0.914;0
0.918;0
0.922;0
0.926;0
0.93;0
0.934;0
0.938;0
0.941;0
0.945;0
0.949;0
0.953;0
0.957;0
0.961;0
0.965;0
0.969;0
0.973;0
0.977;0
0.98;0
0.984;0
0.988;0
0.992;0
0.996;0
