NDVI;Number of pixels
0;7173
0.004;7173
0.008;8747
0.012;12282
0.016;11499
0.02;8406
0.023;10268
0.027;10754
0.031;11597
0.035;12672
0.039;11889
0.043;12186
0.047;11356
0.051;11008
0.055;9410
0.059;11562
0.062;10880
0.066;11037
0.07;11519
0.074;11469
0.078;10876
0.082;12925
0.086;12107
0.09;13763
0.094;12748
0.098;12327
0.102;10090
0.105;11338
0.109;10823
0.113;11882
0.117;10893
0.121;9981
0.125;11655
0.129;11358
0.133;10264
0.137;8798
0.141;11462
0.145;9565
0.148;8740
0.152;9493
0.156;9371
0.16;10290
0.164;10418
0.168;10094
0.172;10240
0.176;13685
0.18;8993
0.184;11287
0.188;10506
0.191;12806
0.195;9544
0.199;11274
0.203;12485
0.207;7400
0.211;11231
0.215;9114
0.219;7221
0.223;7023
0.227;8620
0.23;5252
0.234;6591
0.238;6541
0.242;5795
0.246;4738
0.25;5103
0.254;5108
0.258;3548
0.262;3719
0.266;3379
0.27;1905
0.273;3289
0.277;2039
0.281;2562
0.285;1623
0.289;1599
0.293;1429
0.297;1106
0.301;1365
0.305;1420
0.309;592
0.312;1133
0.316;736
0.32;622
0.324;522
0.328;582
0.332;650
0.336;230
0.34;509
0.344;327
0.348;293
0.352;339
0.355;445
0.359;224
0.363;426
0.367;303
0.371;357
0.375;335
0.379;314
0.383;196
0.387;177
0.391;166
0.395;95
0.398;38
0.402;7
0.406;16
0.41;1
0.414;2
0.418;0
0.422;0
0.426;0
0.43;0
0.434;0
0.438;0
0.441;0
0.445;0
0.449;0
0.453;0
0.457;0
0.461;0
0.465;0
0.469;0
0.473;0
0.477;0
0.48;0
0.484;0
0.488;0
0.492;0
0.496;0
0.5;0
0.504;0
0.508;0
0.512;0
0.516;0
0.52;0
0.523;0
0.527;0
0.531;0
0.535;0
0.539;0
0.543;0
0.547;0
0.551;0
0.555;0
0.559;0
0.562;0
0.566;0
0.57;0
0.574;0
0.578;0
0.582;0
0.586;0
0.59;0
0.594;0
0.598;0
0.602;0
0.605;0
0.609;0
0.613;0
0.617;0
0.621;0
0.625;0
0.629;0
0.633;0
0.637;0
0.641;0
0.645;0
0.648;0
0.652;0
0.656;0
0.66;0
0.664;0
0.668;0
0.672;0
0.676;0
0.68;0
0.684;0
0.688;0
0.691;0
0.695;0
0.699;0
0.703;0
0.707;0
0.711;0
0.715;0
0.719;0
0.723;0
0.727;0
0.73;0
0.734;0
0.738;0
0.742;0
0.746;0
0.75;0
0.754;0
0.758;0
0.762;0
0.766;0
0.77;0
0.773;0
0.777;0
0.781;0
0.785;0
0.789;0
0.793;0
0.797;0
0.801;0
0.805;0
0.809;0
0.812;0
0.816;0
0.82;0
0.824;0
0.828;0
0.832;0
0.836;0
0.84;0
0.844;0
0.848;0
0.852;0
0.855;0
0.859;0
0.863;0
0.867;0
0.871;0
0.875;0
0.879;0
0.883;0
0.887;0
0.891;0
0.895;0
0.898;0
0.902;0
0.906;0
0.91;0
0.914;0
0.918;0
0.922;0
0.926;0
0.93;0
0.934;0
0.938;0
0.941;0
0.945;0
0.949;0
0.953;0
0.957;0
0.961;0
0.965;0
0.969;0
0.973;0
0.977;0
0.98;0
0.984;0
0.988;0
0.992;0
0.996;6
